"Inicio","Final","Descripcion","Lectivo","Tipo","Formato"
"2017-09-01","2018-01-31","Primer semestre",TRUE,"Grado","normal"
"2017-09-01","2018-01-31","Primer semestre",TRUE,"Master","normal"
"2017-09-04","2017-09-10","Matrícula",TRUE,"Master","matricula"
"2017-09-05","2017-09-05","Jornada de Bienvenida",FALSE,"Grado","evento"
"2017-09-06","2017-12-22","Docencia",TRUE,"Grado","lectivo"
"2017-09-13","2017-12-15","Docencia",TRUE,"Master","lectivo"
"2017-09-29","2017-09-29","Noche de los Investigadores (prov.)",TRUE,"ETSIDI","evento"
"2017-10-12","2017-10-12","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2017-10-13","2017-10-13","No lectivo",FALSE,"ETSIDI","noLectivo"
"2017-10-29","2017-10-31","Campeonato INTER EUITI (prov.)",TRUE,"ETSIDI","evento"
"2017-11-01","2017-11-01","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2017-11-09","2017-11-09","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2017-11-10","2017-11-10","No lectivo",FALSE,"ETSIDI","noLectivo"
"2017-11-10","2017-11-18","Semana ATHENS",TRUE,"ETSIDI","evento"
"2017-11-13","2017-11-13","Horario de viernes",TRUE,"ETSIDI","especial"
"2017-12-05","2017-12-05","Horario de jueves",TRUE,"ETSIDI","especial"
"2017-12-06","2017-12-06","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2017-12-07","2017-12-07","No lectivo",FALSE,"ETSIDI","noLectivo"
"2017-12-08","2017-12-08","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2017-12-14","2017-12-14","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2017-12-23","2018-01-07","Vacaciones de Navidad",FALSE,"ETSIDI","fiesta"
"2018-01-08","2018-01-23","Exámenes del primer semestre",TRUE,"Grado","examen"
"2018-01-08","2018-01-23","Exámenes del primer semestre",TRUE,"Master","examen"
"2018-01-22","2018-02-13","Matrícula",TRUE,"Grado","matricula"
"2018-01-26","2018-01-26","Fiesta Santo Tomás de Aquino",FALSE,"ETSIDI","fiesta"
"2018-01-29","2018-02-02","Entrega del TFG",TRUE,"Grado","transparent"
"2018-02-05","2018-02-09","Entrega del TFM",TRUE,"Master","transparent"
"2018-01-29","2018-02-13","Matrícula",TRUE,"Master","matricula"
"2018-02-01","2018-07-31","Segundo semestre",TRUE,"Grado","normal"
"2018-02-01","2018-07-31","Segundo semestre",TRUE,"Master","normal"
"2018-02-02","2018-02-28","Defensa del TFG",TRUE,"Grado","transparent"
"2018-02-20","2018-02-22","Defensa del TFM",TRUE,"Master","transparent"
"2018-02-05","2018-05-29","Docencia",TRUE,"Grado","lectivo"
"2018-02-05","2018-05-11","Docencia",TRUE,"Master","lectivo"
"2018-03-16","2018-03-24","Semana ATHENS",TRUE,"ETSIDI","evento"
"2018-03-19","2018-03-19","Fiesta ETSIDI",FALSE,"ETSIDI","fiesta"
"2018-03-23","2018-03-23","Horario de lunes",TRUE,"ETSIDI","especial"
"2018-03-24","2018-04-02","Vacaciones de Semana Santa",FALSE,"ETSIDI","fiesta"
"2018-04-05","2018-04-05","Horario de lunes",TRUE,"ETSIDI","especial"
"2018-04-30","2018-04-30","No lectivo",FALSE,"ETSIDI","noLectivo"
"2018-05-01","2018-05-01","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2018-05-02","2018-05-02","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2018-05-03","2018-05-03","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2018-05-14","2018-05-14","No lectivo",FALSE,"ETSIDI","noLectivo"
"2018-05-15","2018-05-15","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2018-06-04","2018-06-19","Exámenes del segundo semestre",TRUE,"Grado","examen"
"2018-06-04","2018-06-19","Exámenes del segundo semestre",TRUE,"Master","examen"
"2018-06-25","2018-06-29","Entrega del TFG",TRUE,"Grado","transparent"
"2018-06-25","2018-06-29","Entrega del TFM",TRUE,"Master","transparent"
"2018-06-27","2018-07-14","Exámenes extraordinarios",TRUE,"Master","examen"
"2018-06-27","2018-07-14","Exámenes extraordinarios",TRUE,"Grado","examen"
"2018-07-02","2018-07-20","Defensa del TFG",TRUE,"Grado","transparent"
"2018-07-10","2018-07-12","Defensa del TFM",TRUE,"Master","transparent"
"2018-07-16","2018-07-31","Matrícula",FALSE,"Grado","matricula"
"2018-07-16","2018-07-31","Matrícula",FALSE,"Master","matricula"
